"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.61,"Good","E","I1",63.4,57.1,1168,5.37,5.43,3.42
"2",0.53,"Premium","G","SI2",60.8,58,1173,5.21,5.19,3.16
"3",0.23,"Very Good","E","VVS2",62.3,55,505,3.9,3.93,2.44
"4",1.33,"Ideal","J","VS1",61.3,57,6118,7.11,7.08,4.35
"5",0.3,"Ideal","E","VVS1",61.6,56,838,4.3,4.34,2.66
"6",0.3,"Ideal","D","VS2",60.8,57,911,4.34,4.31,2.63
"7",2.01,"Good","H","I1",63.9,59,7024,8.01,7.92,5.09
"8",1.12,"Ideal","H","VS2",61.8,55,6110,6.64,6.7,4.12
"9",1.02,"Ideal","G","VVS2",62.1,57,8401,6.43,6.45,4
"10",0.74,"Ideal","F","VS1",62.3,56,3226,5.76,5.79,3.6
"11",0.74,"Very Good","E","SI2",63.1,57,2617,5.8,5.76,3.65
"12",0.9,"Good","G","SI2",63.8,56,3303,6.13,6.16,3.92
"13",0.34,"Premium","E","SI2",59.9,59,612,4.57,4.55,2.73
"14",0.36,"Very Good","F","VS1",59.9,58.6,825,4.62,4.66,2.77
"15",0.71,"Good","I","VS1",64.2,56,2161,5.62,5.66,3.62
"16",1.12,"Ideal","G","VS2",62,56,6774,6.69,6.64,4.13
"17",0.76,"Ideal","H","SI1",61.8,56,2587,5.88,5.84,3.62
"18",0.61,"Ideal","F","SI2",62.3,57,1303,5.38,5.44,3.37
"19",0.4,"Ideal","F","VVS2",62.4,56,1163,4.74,4.72,2.95
"20",0.3,"Very Good","I","IF",63.3,57,810,4.3,4.23,2.7
"21",0.42,"Premium","F","SI1",60,59,773,4.85,4.88,2.92
"22",0.7,"Good","G","SI1",63.9,58,2218,5.57,5.51,3.54
"23",1.51,"Ideal","H","SI2",62.1,57,8710,7.38,7.34,4.57
"24",0.32,"Ideal","H","IF",61.1,56,814,4.45,4.48,2.73
"25",0.3,"Ideal","D","VVS2",61.7,55,814,4.33,4.36,2.68
"26",0.51,"Ideal","F","VVS2",62.2,57,2083,5.12,5.17,3.2
"27",0.65,"Ideal","G","VVS1",61.9,56,3248,5.56,5.59,3.45
"28",0.79,"Premium","E","VS2",60.6,53,2876,6.04,5.98,3.64
"29",0.3,"Ideal","H","VS1",61.3,56,526,4.31,4.33,2.65
"30",0.38,"Ideal","F","SI2",60.6,56,827,4.73,4.7,2.86
"31",0.44,"Premium","G","VS1",62.3,59,965,4.82,4.87,3.02
"32",0.31,"Good","E","SI1",63.9,56,544,4.27,4.31,2.74
"33",0.44,"Very Good","D","SI1",62.9,58,849,4.82,4.85,3.04
"34",0.77,"Ideal","F","VS1",60.9,58,3655,5.91,5.95,3.61
"35",0.51,"Premium","G","VS2",62.6,57,1443,5.15,5.1,3.21
"36",0.34,"Premium","F","VS1",60.4,58,745,4.51,4.53,2.73
"37",0.4,"Very Good","F","VS1",63.4,54,909,4.68,4.72,2.98
"38",0.31,"Premium","G","VS1",62.1,58,625,4.31,4.36,2.69
"39",0.71,"Ideal","E","VVS2",61.7,56,4447,5.78,5.8,3.57
"40",0.35,"Ideal","D","VS2",62.3,55,829,4.52,4.54,2.82
"41",0.71,"Ideal","F","VS1",61.7,55,3041,5.73,5.77,3.55
"42",0.37,"Very Good","H","VS2",61.2,54,537,4.62,4.7,2.85
"43",0.4,"Premium","G","VS2",61.9,58,966,4.76,4.74,2.94
"44",0.3,"Ideal","F","VS2",62.5,53.3,601,4.28,4.31,2.69
"45",1.1,"Premium","F","VS2",60.5,57,9486,6.7,6.69,4.05
"46",1.04,"Ideal","F","SI1",62.1,56,4426,6.54,6.47,4.04
"47",0.9,"Premium","D","SI2",62.7,59,3205,6.2,6.14,3.87
"48",1,"Good","F","SI2",62.7,57,4081,6.29,6.34,3.96
"49",0.92,"Ideal","H","SI1",60.5,57,4325,6.27,6.32,3.81
"50",1.19,"Good","D","VS1",63.8,55,7437,6.68,6.64,4.25
"51",0.78,"Premium","G","SI2",60.6,58,2486,6.02,5.99,3.64
"52",1.23,"Premium","H","VS1",61.1,58,7577,6.91,6.86,4.21
"53",0.37,"Ideal","E","VS2",61.2,57,811,4.58,4.64,2.82
"54",1.01,"Very Good","E","VVS2",62.8,56,9089,6.34,6.39,4
"55",0.51,"Very Good","G","SI1",61.4,54,1237,5.2,5.22,3.2
"56",2.01,"Very Good","G","SI1",63.1,59,18741,8.03,7.98,5.05
"57",0.38,"Ideal","I","VVS2",61.7,56,737,4.67,4.7,2.89
"58",0.35,"Premium","D","VS2",60.4,58,1063,4.58,4.53,2.75
"59",0.3,"Ideal","E","VVS2",62.3,57,766,4.29,4.32,2.68
"60",0.44,"Premium","H","VVS1",60.1,58,1196,4.96,4.92,2.97
"61",0.41,"Ideal","E","SI1",62.6,57,969,4.73,4.72,2.96
"62",0.51,"Ideal","I","SI1",61.7,54,1000,5.18,5.19,3.2
"63",1.03,"Very Good","G","VS2",62.3,57,6036,6.43,6.51,4.03
"64",0.44,"Very Good","H","SI1",63.5,57,941,4.85,4.82,3.07
"65",0.41,"Ideal","E","VS1",60.5,58,997,4.81,4.85,2.92
"66",1.25,"Ideal","H","SI2",62.2,55.4,5932,6.89,6.94,4.29
"67",0.52,"Ideal","H","SI1",61.7,55,1245,5.17,5.21,3.2
"68",0.72,"Premium","F","VVS1",62.8,58,3689,5.75,5.68,3.59
"69",1.51,"Ideal","I","VS2",59.9,56,9471,7.49,7.42,4.47
"70",0.28,"Very Good","E","VS1",59.5,59,487,4.29,4.35,2.57
"71",0.3,"Very Good","E","VS2",62.6,58,658,4.25,4.28,2.67
"72",0.62,"Ideal","E","SI1",60.7,56,2156,5.54,5.57,3.37
"73",0.51,"Premium","F","SI2",62.3,62,956,5.09,5.02,3.15
"74",1.06,"Very Good","G","IF",61.2,57,8415,6.52,6.56,4
"75",1.5,"Very Good","H","VS1",63.4,59,10652,7.13,7.2,4.54
"76",1,"Good","H","SI2",63.2,60,3740,6.27,6.3,3.97
"77",0.7,"Ideal","E","VS1",61.3,54,2978,5.77,5.83,3.54
"78",0.4,"Ideal","G","IF",62,56,1229,4.73,4.76,2.94
"79",0.75,"Ideal","J","VS2",61.5,54,2001,5.87,5.9,3.62
"80",0.71,"Premium","D","SI1",60.9,59,2743,5.72,5.71,3.48
"81",0.71,"Very Good","J","VS2",59,61,1922,5.81,5.85,3.44
"82",0.41,"Ideal","G","IF",61.7,56,1259,4.78,4.81,2.96
"83",0.31,"Ideal","E","VS2",61,56,872,4.41,4.38,2.68
"84",0.7,"Ideal","H","SI1",61.4,57,2240,5.64,5.76,3.5
"85",0.32,"Very Good","F","SI1",59.3,58,533,4.47,4.5,2.66
"86",1.54,"Very Good","F","VS1",63.3,58,16082,7.34,7.3,4.63
"87",0.31,"Very Good","G","VVS2",62.3,59,617,4.29,4.32,2.68
"88",0.76,"Ideal","G","SI2",62.1,54,2143,5.88,5.84,3.64
"89",0.53,"Ideal","E","VS2",62.4,56,1721,5.16,5.2,3.23
"90",0.32,"Very Good","E","SI1",62.2,57,561,4.38,4.43,2.74
"91",1.13,"Ideal","F","VS1",60.9,57,10016,6.73,6.76,4.11
"92",0.31,"Premium","F","VS2",59.7,58,802,4.48,4.43,2.66
"93",1.17,"Premium","D","VS1",61.7,59,10115,6.77,6.72,4.16
"94",0.37,"Premium","F","SI1",61.6,59,791,4.67,4.62,2.86
"95",0.32,"Ideal","D","VS2",60.5,56,972,4.48,4.45,2.7
"96",0.77,"Very Good","H","SI1",60.4,58,2591,5.9,5.93,3.57
"97",1.01,"Ideal","F","VS2",61,56,5662,6.44,6.4,3.94
"98",1.55,"Premium","H","VS1",60.8,60,8593,7.54,7.5,4.57
"99",1.32,"Ideal","G","SI2",62.9,57,6409,6.98,6.94,4.38
"100",0.5,"Ideal","D","SI1",62.9,57,1654,5.08,5.06,3.19
"101",0.32,"Ideal","H","SI1",60.6,57,449,4.4,4.44,2.68
"102",0.4,"Ideal","D","SI1",62,56,990,4.71,4.68,2.91
"103",0.7,"Ideal","H","VS1",61.9,55,2484,5.66,5.72,3.52
"104",0.41,"Very Good","I","VVS2",63.5,57,1061,4.76,4.72,3.01
"105",1,"Very Good","G","VVS2",59.5,61,7453,6.42,6.46,3.83
"106",0.4,"Ideal","F","VS1",61.4,57,960,4.74,4.77,2.92
"107",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94
"108",0.36,"Ideal","E","VS1",61.6,57,852,4.54,4.58,2.81
"109",0.9,"Good","E","SI2",64.1,57,3084,6.09,6.07,3.9
"110",1.59,"Fair","I","SI2",65.2,58,7080,7.28,7.24,4.73
"111",1,"Good","I","VS2",62.6,59,4081,6.28,6.33,3.95
"112",0.72,"Ideal","H","VVS1",62.8,57,2907,5.68,5.72,3.58
"113",0.71,"Premium","H","SI1",62.3,61,2049,5.65,5.61,3.51
"114",0.7,"Very Good","F","SI1",60.5,56,2155,5.73,5.8,3.49
"115",0.82,"Fair","F","SI2",56.7,70,2508,6.28,6.16,3.53
"116",0.41,"Fair","E","SI2",64.7,55,818,4.7,4.67,3.03
"117",0.3,"Premium","E","VS1",61.9,60,911,4.3,4.26,2.65
"118",2,"Good","I","VS2",64,60,10640,7.9,7.83,5.04
"119",0.29,"Very Good","D","VVS2",62.9,58,664,4.2,4.29,2.67
"120",0.56,"Ideal","D","VS1",61.6,57,2369,5.33,5.29,3.27
"121",1.45,"Ideal","J","VS2",61.9,59,7477,7.16,7.21,4.45
"122",1,"Very Good","G","VVS1",57.8,59,7725,6.59,6.63,3.82
"123",0.73,"Ideal","D","SI2",61.8,56,2729,5.77,5.82,3.58
"124",1.54,"Ideal","F","VS2",61.8,56,17240,7.36,7.39,4.56
"125",1.01,"Very Good","G","VVS2",62.1,63,6371,6.38,6.31,3.94
"126",0.6,"Premium","F","VS1",59.4,58,2142,5.52,5.45,3.26
"127",1.04,"Very Good","D","SI2",58.2,59,4252,6.62,6.67,3.87
"128",1.46,"Premium","D","SI2",62,55,8683,7.32,7.23,4.51
"129",0.34,"Ideal","I","VS1",62.4,55,689,4.51,4.47,2.8
"130",0.35,"Premium","G","VS1",61.5,58,706,4.5,4.54,2.78
"131",0.52,"Ideal","F","VVS1",61.9,55,2251,5.17,5.2,3.21
"132",0.57,"Good","G","VS2",64.1,55,1613,5.28,5.27,3.38
"133",0.32,"Premium","F","VS2",62.1,59,645,4.35,4.41,2.72
"134",1.05,"Very Good","H","VS2",59,59,5370,6.68,6.71,3.95
"135",2.06,"Premium","G","SI2",61.8,58,16587,8.15,8.1,5.02
"136",0.31,"Ideal","J","SI1",61.3,56,418,4.37,4.4,2.69
"137",1.33,"Ideal","G","VVS2",62.6,57,12209,7.04,6.99,4.39
"138",1.15,"Very Good","E","SI2",63.1,63,5193,6.63,6.53,4.15
"139",1.11,"Ideal","I","SI1",61.9,55,5329,6.65,6.66,4.12
"140",1.58,"Very Good","G","VS1",62.8,57,13963,7.34,7.4,4.63
"141",0.91,"Premium","J","VS2",61.6,58,3058,6.28,6.23,3.85
"142",2.26,"Ideal","I","SI1",62.4,57,16904,8.43,8.37,5.24
"143",1.02,"Ideal","G","VS1",61.3,56,7192,6.49,6.53,3.99
"144",1.51,"Good","D","SI2",61.5,61,8742,7.37,7.42,4.55
"145",0.51,"Ideal","E","SI1",62.1,55,1438,5.09,5.15,3.18
"146",1.01,"Fair","E","SI2",64.6,59,3294,6.22,6.18,4.01
"147",0.52,"Ideal","G","VVS2",61,56,2012,5.24,5.18,3.18
"148",0.59,"Ideal","G","VS2",62.1,57,1774,5.36,5.39,3.34
"149",0.56,"Premium","G","VS1",61.2,60,1915,5.3,5.26,3.23
"150",0.62,"Ideal","D","VS2",61.2,56,2243,5.49,5.52,3.37
"151",0.3,"Ideal","G","VVS1",61.4,56,945,4.34,4.32,2.66
"152",1.55,"Ideal","G","SI2",60.7,55,9704,7.54,7.51,4.57
"153",1.03,"Ideal","G","VS2",59.6,57,6146,6.65,6.6,3.95
"154",0.53,"Ideal","G","VVS2",60,57,1865,5.27,5.29,3.17
"155",0.34,"Premium","I","VS2",62.1,57,612,4.48,4.44,2.77
"156",0.26,"Very Good","E","VS2",63.2,56,453,4.06,4.1,2.58
"157",1.5,"Very Good","F","VS1",61.6,58,15022,7.35,7.43,4.55
"158",0.91,"Very Good","F","SI2",60.6,56,4081,6.27,6.3,3.81
"159",0.54,"Ideal","F","SI1",62.1,57,1385,5.22,5.24,3.25
"160",0.7,"Ideal","D","VVS2",61.1,55,5539,5.75,5.78,3.52
"161",0.33,"Premium","G","VS2",62.6,58,579,4.41,4.44,2.77
"162",0.92,"Good","H","VS2",63.4,57,4247,6.11,6.17,3.89
"163",0.91,"Very Good","F","VS1",62.4,59,5302,6.15,6.16,3.84
"164",0.75,"Premium","G","SI1",59.4,62,1980,5.95,5.91,3.52
"165",0.51,"Ideal","F","SI1",61.9,56,1346,5.11,5.16,3.18
"166",0.32,"Premium","G","IF",61,59,891,4.38,4.41,2.68
"167",2.01,"Premium","I","SI2",62.3,59,12182,8.01,7.97,4.98
"168",2.03,"Premium","F","SI1",61.3,59,17803,8.15,8.22,5.02
"169",0.7,"Good","D","SI2",58.5,65,2310,5.79,5.76,3.38
"170",0.26,"Very Good","F","VVS1",62,59,597,4.08,4.15,2.55
"171",0.91,"Ideal","E","SI2",61.5,56,3968,6.2,6.23,3.82
"172",2.14,"Premium","G","SI2",60.4,59,17673,8.38,8.32,5.04
"173",0.7,"Premium","E","SI1",61.7,62,2592,5.68,5.64,3.49
"174",1.25,"Premium","J","VS1",62.2,58,5740,6.92,6.88,4.29
"175",2.01,"Premium","H","SI1",61.3,59,17849,8.16,8.08,4.98
"176",0.8,"Premium","E","SI2",59.1,61,2304,6.03,5.99,3.55
"177",2.07,"Ideal","G","SI2",62,55,17095,8.23,8.13,5.07
"178",1.11,"Premium","F","SI2",62.5,59,4134,6.59,6.53,4.1
"179",1.02,"Very Good","E","SI1",60.6,59,5424,6.47,6.49,3.93
"180",0.26,"Very Good","F","VVS2",61.4,56,657,4.14,4.17,2.55
"181",1.51,"Premium","I","SI2",58.7,59,7292,7.53,7.49,4.41
"182",0.55,"Premium","D","VVS2",61.2,57,2366,5.3,5.26,3.23
"183",0.55,"Ideal","I","VS2",62.6,57,1393,5.21,5.23,3.27
"184",0.44,"Ideal","E","SI1",62.6,56,1040,4.9,4.84,3.05
"185",0.4,"Very Good","J","VS1",63.4,58,810,4.64,4.61,2.93
"186",0.38,"Ideal","D","VS1",62,57,942,4.7,4.69,2.91
"187",0.5,"Very Good","F","SI1",61.6,60,1214,5.07,5.1,3.13
"188",0.72,"Good","E","VS2",60.8,62,3140,5.73,5.78,3.5
"189",0.7,"Very Good","F","SI1",60.3,59,2312,5.73,5.78,3.47
"190",0.53,"Ideal","H","VS1",61.3,57,1607,5.22,5.18,3.19
"191",0.43,"Ideal","H","VVS1",62.3,54,1094,4.84,4.85,3.02
"192",0.77,"Premium","F","VS1",62.7,58,3357,5.82,5.88,3.67
"193",0.3,"Ideal","E","VS2",62.1,55,844,4.33,4.3,2.68
"194",1,"Premium","F","SI1",60.5,56,5292,6.48,6.45,3.91
"195",1.5,"Premium","F","VS2",61.5,58,14719,7.34,7.32,4.51
"196",0.5,"Ideal","J","VS1",63,56,984,5.08,5.05,3.19
"197",1.02,"Premium","G","VVS1",63,58,7797,6.43,6.4,4.04
"198",0.3,"Very Good","G","SI1",58.8,60,447,4.35,4.39,2.57
"199",1,"Very Good","E","SI2",60.6,60,4576,6.33,6.4,3.86
"200",0.32,"Premium","G","IF",59.9,58,954,4.42,4.43,2.65
"201",2.11,"Fair","G","SI2",65,56,12633,8.06,8.01,5.22
"202",0.92,"Premium","H","SI1",59,59,3709,6.36,6.31,3.74
"203",0.64,"Fair","E","SI1",59.5,64,1733,5.65,5.39,3.31
"204",1.2,"Very Good","D","SI2",63.5,59,4758,6.61,6.56,4.18
"205",0.73,"Premium","F","SI2",61.4,58,2197,5.83,5.8,3.57
"206",1.22,"Very Good","G","VS1",62.2,58,8633,6.75,6.81,4.22
"207",1.2,"Very Good","F","VVS2",63.8,58,10173,6.67,6.69,4.26
"208",0.91,"Premium","F","SI2",59.1,60,3845,6.36,6.3,3.74
"209",0.54,"Ideal","I","SI1",61.9,54,1057,5.25,5.28,3.26
"210",0.71,"Very Good","D","SI1",63.3,59,2525,5.55,5.66,3.55
"211",0.91,"Ideal","H","SI2",60.3,57,3363,6.31,6.27,3.79
"212",0.71,"Ideal","H","VS2",60.9,55,2450,5.76,5.74,3.5
"213",0.42,"Ideal","G","VS2",61.9,57,1048,4.83,4.79,2.98
"214",0.3,"Very Good","D","VVS2",60.6,58,2366,4.33,4.35,2.63
"215",0.72,"Very Good","E","VVS1",61.2,58,3903,5.75,5.79,3.53
"216",1.5,"Premium","I","VS1",61.6,59,9828,7.32,7.26,4.49
"217",1.37,"Premium","G","SI2",59.6,60,6495,7.24,7.18,4.3
"218",0.74,"Very Good","F","SI1",59.8,58,2583,5.89,5.94,3.54
"219",0.73,"Ideal","H","VVS1",62.1,56,3220,5.75,5.8,3.59
"220",1,"Very Good","E","VS2",64,59,6285,6.22,6.31,4.01
"221",0.26,"Good","F","VS1",63.1,57,499,4.04,4.07,2.56
"222",0.73,"Premium","H","VS2",61,58,2496,5.76,5.84,3.54
"223",0.5,"Good","E","VS2",57.8,60,1365,5.2,5.29,3.03
"224",0.3,"Ideal","E","VVS1",61.6,55,838,4.34,4.36,2.68
"225",0.43,"Premium","H","VS1",62.3,58,1113,4.81,4.75,2.98
"226",1.22,"Premium","D","SI1",62.3,60,5739,6.84,6.8,4.25
"227",0.33,"Premium","G","VS1",61.9,59,666,4.43,4.45,2.75
"228",1,"Premium","H","VVS2",61.4,59,5914,6.49,6.45,3.97
"229",1.01,"Very Good","H","SI1",59.3,62,4868,6.57,6.55,3.89
"230",0.75,"Very Good","F","VS1",60.9,59,3220,5.83,5.87,3.56
"231",0.41,"Premium","F","VVS2",60.6,58,1115,4.79,4.84,2.92
"232",0.9,"Very Good","I","VS2",63.4,56,3489,6.09,6.12,3.87
"233",0.58,"Ideal","E","VVS2",62.1,56,2551,5.36,5.33,3.32
"234",0.38,"Ideal","E","IF",62.7,55,1433,4.61,4.67,2.91
"235",0.31,"Very Good","G","VVS1",61.9,55,642,4.36,4.4,2.71
"236",2.51,"Fair","H","SI2",64.7,57,18308,8.44,8.5,5.48
"237",0.77,"Very Good","I","VS1",62.2,59,2682,5.83,5.85,3.63
"238",0.8,"Very Good","F","SI1",62.6,58,2862,5.9,5.92,3.7
"239",1.01,"Good","D","VS1",64.1,55,8339,6.29,6.38,4.06
"240",1.99,"Premium","G","SI2",59.1,61,11486,8.08,8.05,4.77
"241",0.39,"Very Good","F","IF",60.8,55,1131,4.73,4.77,2.89
"242",0.4,"Ideal","F","VS2",63.4,54,1059,4.73,4.68,2.99
"243",0.59,"Premium","H","VS2",60.7,56,1572,5.46,5.41,3.3
"244",0.52,"Ideal","E","VS2",61.5,56,1694,5.2,5.18,3.19
"245",1,"Fair","F","SI1",67.1,57,4328,6.06,6.1,4.08
"246",1.5,"Fair","H","SI2",66,64,5000,7.1,6.97,4.64
"247",0.32,"Very Good","E","VVS1",60.8,58,954,4.38,4.41,2.67
"248",2.06,"Very Good","I","SI2",62.3,57,14298,8.12,8.2,5.09
"249",1.01,"Premium","D","SI1",60.7,58,5599,6.42,6.49,3.92
"250",1.6,"Ideal","G","VS2",61.9,56,15000,7.53,7.47,4.64
"251",0.33,"Ideal","F","SI1",60.6,56,550,4.46,4.49,2.71
"252",0.91,"Very Good","H","SI1",62.7,56,3762,6.14,6.18,3.86
"253",3,"Premium","G","I1",59.7,60,13203,9.42,9.26,5.58
"254",0.41,"Ideal","G","IF",61.7,56,1431,4.8,4.77,2.95
"255",0.31,"Ideal","G","VVS1",61.4,57,772,4.37,4.39,2.68
"256",1,"Premium","H","SI2",59.4,60,3360,6.55,6.49,3.87
"257",0.3,"Ideal","D","VVS1",61.3,57,1069,4.32,4.29,2.64
"258",0.38,"Ideal","F","VVS1",62.3,54,1096,4.64,4.7,2.91
"259",0.32,"Premium","G","IF",61,59,952,4.41,4.38,2.68
"260",1.5,"Premium","H","VS2",60.8,59,10291,7.34,7.36,4.47
"261",1.24,"Ideal","I","SI2",61.9,57,5221,6.87,6.92,4.27
"262",0.3,"Ideal","I","SI1",61.7,57,422,4.3,4.32,2.66
"263",0.71,"Ideal","I","VVS2",61.4,58,2559,5.7,5.76,3.52
"264",0.54,"Premium","H","VS1",61.3,58,1637,5.25,5.22,3.21
"265",0.32,"Ideal","E","VS2",62.2,55,702,4.36,4.38,2.72
"266",0.41,"Ideal","G","VS2",61.4,54,827,4.77,4.84,2.95
"267",1,"Fair","E","SI2",67,53,3136,6.19,6.13,4.13
"268",1.05,"Premium","H","SI2",61.7,59,3352,6.59,6.53,4.05
"269",0.41,"Premium","J","VS1",61.3,59,830,4.78,4.74,2.92
"270",1.3,"Premium","I","IF",61.8,58,7621,6.95,7,4.31
"271",0.55,"Ideal","F","VS1",61.4,55,1901,5.28,5.24,3.23
"272",1.08,"Premium","G","VS2",59.4,59,6532,6.75,6.68,3.99
"273",0.8,"Premium","G","IF",62.6,58,4193,5.93,5.89,3.7
"274",1.5,"Fair","G","SI2",64.7,55,7972,7.16,7.13,4.62
"275",1.19,"Ideal","G","VVS2",60.7,57,9587,6.8,6.85,4.14
"276",1.01,"Fair","I","SI2",66.1,58,3054,6.21,6.04,4.05
"277",0.37,"Ideal","D","VS2",61.1,54,763,4.63,4.66,2.84
"278",0.3,"Premium","G","VS1",62.2,59,776,4.31,4.28,2.67
"279",0.41,"Very Good","H","VS1",62,56,827,4.74,4.78,2.95
"280",0.71,"Very Good","E","VVS1",57.9,61,3907,5.88,5.96,3.43
"281",0.3,"Ideal","D","VS2",62.6,56,911,4.31,4.28,2.69
"282",0.79,"Premium","H","VS2",62.6,61,2726,5.9,5.86,3.68
"283",0.38,"Ideal","D","VS1",62.5,56,1067,4.64,4.67,2.91
"284",0.31,"Ideal","D","VS2",61.9,56,734,4.34,4.38,2.7
"285",0.96,"Very Good","G","SI1",60.3,57,4265,6.35,6.38,3.84
"286",0.41,"Ideal","G","IF",62.4,54,1259,4.76,4.79,2.98
"287",0.41,"Very Good","G","VS1",60.6,56,976,4.83,4.87,2.94
"288",0.81,"Ideal","F","VS1",61.8,55,4270,5.97,6.03,3.71
"289",1.01,"Ideal","G","SI1",60.8,56,5204,6.53,6.49,3.96
"290",0.24,"Very Good","F","VS2",59.6,58,419,4.08,4.11,2.44
"291",0.9,"Premium","H","VS1",61.5,59,4064,6.19,6.13,3.79
"292",1.1,"Very Good","I","SI2",62.8,57,4083,6.56,6.63,4.14
"293",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"294",1.21,"Ideal","E","VS2",61.8,53,10556,6.86,6.9,4.25
"295",1.22,"Premium","E","I1",60.9,57,2862,6.93,6.88,4.21
"296",0.31,"Ideal","F","IF",61.1,55,901,4.41,4.43,2.7
"297",0.78,"Good","F","SI2",62.7,61,2444,5.8,5.84,3.65
"298",0.71,"Very Good","I","VVS2",60.6,56,2586,5.82,5.77,3.51
"299",0.88,"Ideal","F","SI1",62.3,53,4054,6.12,6.15,3.82
"300",1.2,"Very Good","H","SI2",58.8,61,5211,6.94,6.98,4.09
"301",0.3,"Premium","J","SI2",59.3,61,405,4.43,4.38,2.61
"302",0.3,"Premium","J","VS1",62.6,58,506,4.32,4.27,2.69
"303",0.5,"Very Good","H","VS1",62.5,59,1429,5.01,5.04,3.14
"304",0.5,"Ideal","F","VVS1",62,58,2018,5.06,5.07,3.14
"305",0.4,"Ideal","E","VS1",62.6,56,1125,4.72,4.67,2.94
"306",0.51,"Very Good","E","SI1",61.6,53,1315,5.16,5.19,3.19
"307",0.33,"Premium","D","VS2",60.7,58,1002,4.5,4.46,2.72
"308",0.41,"Ideal","F","VS2",61.8,57,1107,4.78,4.73,2.94
"309",0.34,"Ideal","H","IF",60.8,56,988,4.56,4.55,2.77
"310",0.3,"Ideal","G","VS1",62.4,57,624,4.3,4.32,2.69
"311",0.33,"Premium","I","SI1",61.4,58,572,4.5,4.46,2.75
"312",0.32,"Ideal","F","VS2",61.3,56,828,4.43,4.41,2.71
"313",1.08,"Good","D","SI1",63.8,59,5927,6.47,6.39,4.1
"314",1.83,"Very Good","F","SI1",63.2,56,11782,7.78,7.73,4.9
"315",1,"Ideal","E","SI2",62.9,56,3450,6.32,6.3,3.97
"316",1.08,"Premium","D","VS2",61.2,60,7824,6.63,6.61,4.05
"317",0.51,"Ideal","G","VS1",62.3,53.5,1652,5.09,5.14,3.19
"318",0.7,"Good","D","VS2",64.1,59,3087,5.49,5.56,3.54
"319",1.04,"Ideal","E","SI2",62,55,4892,6.51,6.48,4.03
"320",0.92,"Very Good","F","SI1",62.2,55,4621,6.19,6.26,3.87
"321",0.36,"Premium","D","VS2",61.8,58,852,4.55,4.58,2.82
"322",1.2,"Ideal","H","VS2",62.2,55,6956,6.76,6.85,4.23
"323",1.75,"Premium","I","SI1",60.8,58,7644,7.83,7.79,4.75
"324",0.43,"Ideal","E","VS2",62.1,56,981,4.83,4.87,3.01
"325",0.27,"Very Good","F","VVS2",61.8,57,682,4.15,4.17,2.57
"326",1.61,"Ideal","D","VS2",62,55,18318,7.51,7.5,4.67
"327",1.02,"Ideal","G","VS2",62.4,57,5346,6.47,6.36,4
"328",0.51,"Ideal","F","VS2",61.3,56,1562,5.17,5.14,3.16
"329",0.3,"Very Good","H","VVS1",61.1,61,638,4.27,4.3,2.62
"330",0.75,"Ideal","I","VS1",61.9,54.1,2564,5.82,5.85,3.61
"331",0.3,"Premium","G","VVS2",61.9,59,684,4.25,4.28,2.64
"332",2.13,"Premium","H","SI2",62.4,56,12753,8.26,8.19,5.13
"333",2.22,"Ideal","I","SI2",62.7,61,14416,8.31,8.23,5.19
