"","carat","cut","color","clarity","depth","table","price","x","y","z"
"667",0.31,"Premium","F","VS2",62.3,59,802,4.34,4.29,2.69
"668",0.3,"Ideal","E","VVS2",61.8,56,789,4.31,4.33,2.67
"669",1.01,"Very Good","F","SI2",63.2,58,4299,6.43,6.3,4.02
"670",1.14,"Very Good","E","SI2",60,54,5593,6.74,6.97,4.11
"671",1.14,"Premium","H","SI2",60.6,59,4788,6.8,6.77,4.11
"672",0.53,"Ideal","G","VS1",62.1,57,1813,5.18,5.16,3.21
"673",1.51,"Premium","I","VS2",60.5,59,9682,7.44,7.41,4.49
"674",0.4,"Very Good","F","SI1",62.2,57,737,4.67,4.72,2.92
"675",1,"Fair","F","VS1",65.3,56,5833,6.28,6.25,4.09
"676",0.31,"Premium","D","VS1",59.6,58,683,4.38,4.41,2.62
"677",0.36,"Ideal","D","VS2",60.6,57,852,4.57,4.61,2.78
"678",1.01,"Premium","H","SI1",62.2,54,4707,6.48,6.41,4.01
"679",0.9,"Good","G","VS2",60.4,61,4547,6.23,6.32,3.79
"680",1.09,"Very Good","D","IF",61.7,58,18231,6.55,6.65,4.07
"681",1.1,"Ideal","G","VS1",61.5,57,6984,6.62,6.65,4.08
"682",1,"Good","F","VS2",64,59,5864,6.29,6.25,4.03
"683",2.02,"Fair","G","I1",65.6,57,6346,7.87,7.8,5.15
"684",0.34,"Premium","I","SI1",60,58,589,4.55,4.51,2.72
"685",0.32,"Good","F","VS2",63.6,57,828,4.37,4.34,2.77
"686",0.32,"Ideal","D","SI1",62.7,54,756,4.39,4.35,2.74
"687",1.51,"Premium","H","VS1",62.4,60,10939,7.34,7.27,4.56
"688",0.32,"Ideal","G","SI1",63,56,612,4.38,4.35,2.75
"689",0.66,"Very Good","F","SI2",61.6,54,1311,5.62,5.64,3.47
"690",0.7,"Ideal","F","VVS2",61.2,56,4114,5.73,5.78,3.52
"691",0.51,"Ideal","F","VS1",62.5,55,1836,5.13,5.08,3.19
"692",0.6,"Very Good","G","SI1",63.1,57,1565,5.32,5.41,3.39
"693",1,"Very Good","G","VVS2",62.3,58,7528,6.39,6.45,4
"694",0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
"695",0.41,"Very Good","G","SI1",62.9,56,719,4.7,4.75,2.97
"696",0.9,"Very Good","I","SI1",61.7,58,3274,6.17,6.21,3.82
"697",0.5,"Good","E","SI1",63.3,59,1316,4.99,5.03,3.17
"698",0.54,"Ideal","G","SI1",62.5,56,1314,5.2,5.24,3.26
"699",1.05,"Very Good","H","SI1",63.5,57,4692,6.47,6.44,4.1
"700",0.34,"Ideal","E","VS1",61,57,805,4.49,4.52,2.75
"701",1.24,"Very Good","H","SI1",60.8,60,7050,6.9,6.94,4.21
"702",0.41,"Ideal","F","VS2",61.8,56,863,4.78,4.8,2.96
"703",1.04,"Very Good","D","SI1",58.9,58,6138,6.66,6.69,3.93
"704",0.35,"Good","J","SI1",63.3,56,409,4.5,4.53,2.86
"705",1.31,"Ideal","F","SI1",62.4,57,8227,6.96,6.88,4.32
"706",0.5,"Ideal","H","SI2",62.4,55,964,5.09,5.11,3.18
"707",1.01,"Very Good","D","SI1",63.3,57,5622,6.33,6.37,4.02
"708",0.5,"Very Good","H","VS2",62.3,58,1302,5.05,5.12,3.17
"709",0.31,"Ideal","E","VVS1",61.4,55,865,4.35,4.38,2.68
"710",0.34,"Ideal","E","VVS2",62.3,57,1071,4.48,4.44,2.78
"711",0.32,"Ideal","H","SI2",60.9,56,434,4.41,4.45,2.7
"712",0.51,"Very Good","E","VS2",63.5,57,1638,5.09,5.05,3.22
"713",0.31,"Ideal","G","VS2",61.4,57,544,4.33,4.37,2.67
"714",0.31,"Very Good","H","VS2",63.5,57,628,4.34,4.32,2.75
"715",1,"Good","H","VS1",62.1,64,4732,6.4,6.18,3.91
"716",2.13,"Premium","F","SI2",62.4,58,13760,8.22,8.16,5.11
"717",0.7,"Premium","J","VVS2",60.6,58,1764,5.73,5.82,3.5
"718",0.53,"Good","H","SI1",63.9,55,1242,5.19,5.14,3.3
"719",0.73,"Ideal","I","VS1",62.1,55.8,2302,5.77,5.81,3.6
"720",0.51,"Ideal","G","VVS2",62.1,58,1844,5.09,5.12,3.17
"721",1.1,"Very Good","F","SI1",58.9,63,5769,6.73,6.78,3.98
"722",0.38,"Ideal","F","SI2",62,55,568,4.67,4.69,2.9
"723",1.25,"Ideal","E","VVS2",60.9,60,13006,6.93,6.97,4.23
"724",0.43,"Premium","F","VS2",59.8,58,968,4.94,4.89,2.94
"725",0.51,"Ideal","D","VS2",61.6,56,1787,5.15,5.17,3.18
"726",0.5,"Good","E","VS2",63.1,61,1419,5,5.05,3.17
"727",1.02,"Premium","F","VS2",62.7,59,6220,6.41,6.44,4.03
"728",0.27,"Ideal","H","VS1",61.2,54,464,4.2,4.23,2.58
"729",0.4,"Very Good","H","VVS1",63.9,57,968,4.62,4.68,2.97
"730",0.35,"Ideal","G","VS2",61.3,56,807,4.55,4.58,2.8
"731",0.7,"Very Good","I","VVS1",61.2,58,2513,5.65,5.72,3.48
"732",0.3,"Ideal","D","VS2",62.5,57,710,4.25,4.29,2.67
"733",0.42,"Very Good","D","SI1",60.2,58,723,4.85,4.89,2.93
"734",0.9,"Good","F","SI1",62.9,57,3780,6.08,6.13,3.84
"735",0.27,"Ideal","H","VS2",61.7,56,451,4.13,4.17,2.56
"736",1,"Ideal","D","SI1",60.5,57,5880,6.52,6.48,3.93
"737",2.17,"Ideal","I","SI1",60.7,57,17747,8.38,8.42,5.1
"738",0.3,"Ideal","E","VVS1",60.5,57,956,4.39,4.34,2.64
"739",1.03,"Premium","G","VS1",60.7,58,6749,6.55,6.5,3.96
"740",0.73,"Ideal","G","SI1",61.4,57,3089,5.74,5.79,3.54
"741",0.48,"Very Good","F","VS2",62.6,55,1311,5,5.07,3.15
"742",2.01,"Premium","H","SI2",61.5,59,11635,8.12,8.08,4.98
"743",1.01,"Ideal","E","SI2",62.2,54,4751,6.43,6.39,3.99
"744",0.99,"Premium","F","SI2",60.6,61,4075,6.45,6.38,3.89
"745",0.5,"Ideal","H","SI1",61.9,56,1446,5.08,5.13,3.16
"746",0.36,"Very Good","E","VS1",60.6,58,894,4.61,4.63,2.8
"747",0.65,"Ideal","E","IF",62.3,56,4184,5.52,5.56,3.45
"748",0.51,"Good","F","SI1",63.6,58,1308,5.05,5.08,3.22
"749",1.51,"Premium","G","SI2",62.7,57,7145,7.33,7.29,4.58
"750",0.58,"Premium","E","VS2",61.5,58,2535,5.41,5.38,3.32
"751",0.51,"Ideal","G","VS2",62,56,1343,5.11,5.18,3.19
"752",1,"Premium","D","VS2",60.8,61,6776,6.41,6.39,3.89
"753",0.3,"Ideal","G","VS1",61.7,57,605,4.3,4.32,2.66
"754",0.51,"Good","E","SI1",63.5,54,1343,5.07,5.1,3.23
"755",1.25,"Ideal","F","VS1",62,55,9586,6.91,6.95,4.3
"756",0.89,"Premium","H","VS1",60.5,59,3489,6.22,6.17,3.75
"757",0.9,"Very Good","E","SI1",61.7,58,4795,6.15,6.2,3.81
"758",1.01,"Premium","F","VVS1",62.5,58,7741,6.35,6.41,3.99
"759",0.57,"Ideal","F","VVS2",60.6,56,2722,5.35,5.38,3.25
"760",0.9,"Premium","E","SI2",61.7,58,3830,6.18,6.11,3.79
"761",0.72,"Ideal","J","SI1",62.3,55,2154,5.73,5.76,3.58
"762",0.44,"Premium","J","VS1",61.9,57,891,4.9,4.83,3.01
"763",0.96,"Premium","E","SI1",58.7,62,4365,6.41,6.39,3.76
"764",0.59,"Very Good","G","VS2",61.5,59,1618,5.32,5.41,3.3
"765",0.7,"Very Good","G","VVS2",60.8,57,2931,5.72,5.76,3.49
"766",0.7,"Very Good","F","SI1",61.1,59,2264,5.68,5.78,3.5
"767",1.53,"Very Good","I","SI1",63,58,9183,7.24,7.32,4.59
"768",0.73,"Ideal","G","SI1",61.6,57,2278,5.81,5.79,3.57
"769",2.51,"Premium","H","SI2",60.6,61,14543,8.88,8.68,5.29
"770",0.31,"Ideal","G","VVS1",62.5,57,816,4.31,4.36,2.71
"771",0.34,"Ideal","G","SI1",61.9,55.5,531,4.49,4.54,2.79
"772",0.33,"Premium","G","VS1",61.9,58,854,4.46,4.43,2.75
"773",0.5,"Very Good","D","VS2",62.2,60,1378,5.15,5.05,3.17
"774",0.67,"Good","F","VVS2",63.8,61,2398,5.46,5.54,3.52
"775",0.71,"Ideal","E","VVS1",62,56,4802,5.69,5.73,3.54
"776",1.07,"Ideal","G","VVS2",61.8,55,8491,6.57,6.61,4.07
"777",1.25,"Good","H","SI1",63.7,58,6783,6.81,6.79,4.33
"778",1.02,"Ideal","G","SI1",60.5,59,4882,6.55,6.51,3.95
"779",1,"Ideal","D","SI1",61.7,57,5489,6.39,6.42,3.95
"780",0.52,"Very Good","G","VVS2",59.9,56,1833,5.22,5.27,3.14
"781",0.51,"Very Good","E","VS2",61.4,56,1612,5.15,5.18,3.17
"782",0.33,"Ideal","F","VVS1",61.8,53,880,4.48,4.51,2.78
"783",0.53,"Ideal","E","VVS2",62.4,56,2288,5.15,5.17,3.22
"784",0.44,"Ideal","G","SI2",61.1,55,694,4.93,4.95,3.02
"785",0.91,"Very Good","F","SI1",63.1,60,4188,6.13,6.17,3.88
"786",0.31,"Premium","D","VS2",62.6,59,734,4.3,4.33,2.7
"787",0.41,"Ideal","G","SI1",61.6,57,1110,4.77,4.81,2.95
"788",1.03,"Very Good","H","VS1",61.9,59,6294,6.44,6.49,4
"789",0.55,"Good","H","SI1",63.6,55,1175,5.18,5.23,3.31
"790",1.29,"Ideal","H","SI2",61.6,54,6300,7,7.02,4.32
"791",1.18,"Premium","E","I1",62.5,58,3965,6.75,6.62,4.18
"792",0.33,"Premium","E","SI1",60.9,58,579,4.46,4.5,2.73
"793",1.01,"Very Good","H","VS2",62.6,61,4821,6.35,6.4,3.99
"794",0.72,"Premium","H","SI1",62.5,57,2398,5.73,5.67,3.56
"795",0.38,"Ideal","F","VVS1",61.9,54,1257,4.7,4.67,2.9
"796",0.71,"Good","G","VS2",63.5,59,2029,5.63,5.67,3.59
"797",0.85,"Premium","D","SI2",58.5,60,3398,6.23,6.21,3.64
"798",1.12,"Very Good","I","SI2",61.2,59,4533,6.69,6.74,4.11
"799",1.02,"Ideal","F","VS1",61.5,56,7916,6.47,6.5,3.99
"800",1.05,"Ideal","H","IF",61.2,55,7329,6.62,6.59,4.04
"801",0.51,"Good","H","SI1",63.6,57,1116,5.09,5.04,3.22
"802",0.33,"Ideal","G","VVS1",61.7,55,838,4.48,4.5,2.77
"803",1.51,"Ideal","F","VS2",63,55,14414,7.29,7.24,4.58
"804",0.31,"Very Good","E","SI1",62.7,58,544,4.31,4.33,2.71
"805",0.34,"Good","H","SI1",63.3,56,490,4.45,4.46,2.82
"806",0.52,"Ideal","J","SI1",62,54,930,5.15,5.18,3.2
"807",0.51,"Very Good","E","VS2",63.6,59,1577,4.99,5.07,3.2
"808",1.36,"Ideal","F","SI2",62,56,7157,7.08,7.11,4.4
"809",2.28,"Premium","H","SI2",62.1,59,18055,8.44,8.4,5.23
"810",0.71,"Premium","G","SI1",62.5,58,2613,5.66,5.61,3.52
"811",0.31,"Very Good","D","SI2",62.9,54,462,4.3,4.35,2.72
"812",1.22,"Ideal","G","VS1",61.3,56,8313,6.93,6.88,4.23
"813",0.9,"Good","H","SI1",60.5,64,3125,6.18,6.11,3.72
"814",0.3,"Ideal","I","VS1",62.5,54,473,4.29,4.32,2.69
"815",0.5,"Good","E","SI1",64,56,1147,5.03,4.9,3.18
"816",1,"Very Good","E","SI2",63.2,56,3763,6.4,6.32,4.02
"817",0.78,"Very Good","D","VS2",58.5,56,3298,6.08,6.12,3.57
"818",0.34,"Fair","F","VS2",64.7,55,816,4.52,4.41,2.89
"819",1,"Fair","I","I1",66.9,57,1997,6.15,6.03,4.09
"820",0.53,"Premium","E","VVS1",60.8,59,2514,5.23,5.17,3.16
"821",0.43,"Ideal","E","VVS2",60.8,57,1135,4.9,4.87,2.97
"822",1.08,"Very Good","H","SI1",63.4,57,5286,6.54,6.51,4.14
"823",0.58,"Very Good","D","VVS2",60,55,2714,5.44,5.49,3.28
"824",0.65,"Premium","G","SI1",59.9,59,1712,5.69,5.62,3.39
"825",0.85,"Fair","G","VS1",57.7,67,2998,6.26,6.19,3.59
"826",2.01,"Very Good","H","SI2",63.4,60,11780,7.97,7.89,5.03
"827",1.02,"Premium","D","SI2",59.7,60,5198,6.58,6.55,3.92
"828",2,"Premium","H","SI2",62.5,58,12940,8.14,8.03,5.05
"829",0.53,"Premium","D","VS2",60.2,58,1904,5.26,5.23,3.16
"830",1.22,"Premium","G","VS2",61.2,58,7870,6.91,6.81,4.2
"831",0.63,"Ideal","E","VVS1",62.4,56,3161,5.48,5.52,3.43
"832",0.27,"Ideal","E","VVS1",62.3,56,622,4.15,4.17,2.59
"833",0.95,"Ideal","H","SI1",61.9,56,4508,6.29,6.35,3.91
"834",0.38,"Ideal","D","SI1",61.3,57,884,4.67,4.7,2.87
"835",0.2,"Premium","D","VS2",61.7,60,367,3.77,3.72,2.31
"836",0.3,"Premium","E","SI1",61.8,60,675,4.28,4.23,2.63
"837",1.53,"Ideal","F","SI1",62.5,57,11525,7.38,7.31,4.59
"838",0.41,"Ideal","G","VVS1",60.2,57,1076,4.8,4.83,2.9
"839",0.38,"Ideal","F","VVS2",62.7,56,1033,4.61,4.64,2.9
"840",1.7,"Premium","H","SI1",62.5,60,11709,7.54,7.49,4.7
"841",0.3,"Ideal","F","SI1",62.5,57,475,4.3,4.31,2.69
"842",0.46,"Premium","E","SI1",61.8,57,1035,4.98,4.93,3.06
"843",0.43,"Very Good","F","SI2",60.5,59,679,4.88,4.91,2.96
"844",0.4,"Premium","E","VS2",62.2,59,975,4.74,4.71,2.94
"845",0.3,"Ideal","F","IF",62,56,1013,4.34,4.3,2.68
"846",0.36,"Ideal","E","VVS2",61.8,54,928,4.6,4.62,2.85
"847",1.3,"Very Good","H","SI2",62.8,58,6140,6.93,7.01,4.38
"848",1.5,"Good","E","SI1",64.2,55,12870,7.22,7.17,4.62
"849",0.94,"Premium","H","SI2",61.9,57,3335,6.29,6.21,3.87
"850",0.32,"Premium","H","SI1",61.3,60,576,4.42,4.36,2.69
"851",0.95,"Very Good","G","VS1",61.7,58,5111,6.26,6.34,3.89
"852",0.55,"Ideal","E","VVS1",62.9,57,2609,5.25,5.21,3.29
"853",0.52,"Good","E","SI2",63.7,56,1229,5.15,5.12,3.27
"854",1.32,"Premium","G","SI1",60.6,58,7676,7.12,7.06,4.3
"855",0.82,"Very Good","F","SI1",63.9,56.9,3048,5.85,5.92,3.76
"856",0.35,"Ideal","E","VS2",62.1,56,767,4.52,4.53,2.81
"857",0.26,"Very Good","F","VVS1",63.3,57,724,4.07,4.05,2.57
"858",0.71,"Premium","F","VS1",61.8,59,2765,5.69,5.73,3.53
"859",1.03,"Premium","D","VVS2",61.7,59,8623,6.48,6.43,3.98
"860",0.43,"Premium","G","IF",61.4,59,1433,4.79,4.85,2.96
"861",1.2,"Very Good","G","SI2",61.5,58,4443,6.83,6.85,4.21
"862",0.87,"Ideal","E","SI1",61.5,57,5112,6.12,6.15,3.77
"863",1.36,"Ideal","F","VVS1",61.3,57,15247,7.13,7.23,4.4
"864",0.42,"Ideal","G","VVS1",61.1,56,1179,4.82,4.87,2.96
"865",0.52,"Premium","D","SI1",61.4,58,1600,5.16,5.19,3.18
"866",0.3,"Ideal","E","VS2",61.8,56,844,4.33,4.31,2.67
"867",0.37,"Ideal","E","VS2",61.6,57,811,4.61,4.65,2.85
"868",0.73,"Very Good","G","VS1",62.4,58.1,2999,5.71,5.75,3.58
"869",0.8,"Ideal","E","SI1",61.1,56,4053,5.98,6.01,3.66
"870",2.2,"Premium","H","SI2",62.7,58,17634,8.33,8.27,5.2
"871",0.42,"Very Good","H","SI1",62.9,57,700,4.76,4.84,3.02
"872",0.55,"Very Good","E","VVS2",60.6,56,2499,5.33,5.36,3.24
"873",0.42,"Premium","G","SI1",62.7,58,882,4.79,4.75,2.99
"874",0.53,"Ideal","F","VS1",62.2,55,1908,5.22,5.17,3.23
"875",1.07,"Ideal","F","IF",62,57,11434,6.52,6.57,4.06
"876",1.66,"Very Good","H","SI1",63.3,59,8831,7.48,7.45,4.72
"877",0.3,"Ideal","J","VS2",62.1,56,384,4.29,4.34,2.68
"878",0.61,"Very Good","H","VVS2",61.4,57,1970,5.46,5.5,3.36
"879",0.3,"Very Good","E","VVS1",63.5,57,995,4.27,4.23,2.7
"880",0.31,"Ideal","D","VVS2",62.4,56,982,4.38,4.34,2.72
"881",0.5,"Good","G","VVS2",63.9,58,1806,5.05,5,3.21
"882",0.41,"Premium","J","VS1",62.1,58,647,4.75,4.79,2.96
"883",0.91,"Very Good","G","SI1",62.8,56,4922,6.16,6.2,3.88
"884",0.51,"Ideal","G","VVS2",62.6,57,1875,5.1,5.12,3.2
"885",1.01,"Very Good","E","VS2",63.1,56,6480,6.34,6.4,4.02
"886",2.01,"Premium","I","SI2",59.2,60,13574,8.31,8.27,4.91
"887",0.41,"Premium","G","SI2",61.4,58,611,4.75,4.8,2.93
"888",1.51,"Very Good","F","SI1",63,61,11560,7.27,7.3,4.59
"889",1.13,"Very Good","H","SI2",62.5,62,4537,6.59,6.66,4.14
"890",0.7,"Premium","G","I1",59.7,59,1138,5.76,5.57,3.39
"891",0.41,"Ideal","F","VS2",60.9,57,1107,4.78,4.74,2.9
"892",0.4,"Premium","F","SI1",62.7,57,945,4.7,4.68,2.94
"893",0.5,"Premium","E","VS2",60.1,61,1420,5.2,5.15,3.11
"894",1.01,"Premium","I","SI1",62.7,59,3959,6.43,6.36,4.01
"895",0.7,"Ideal","H","VVS1",62.3,58,2866,5.66,5.7,3.54
"896",1.2,"Good","I","SI1",63.5,60.7,5280,6.71,6.75,4.27
"897",0.4,"Very Good","E","VS2",61.2,60,912,4.79,4.68,2.9
"898",1.11,"Good","D","SI1",57.8,61,6088,6.83,6.78,3.93
"899",0.71,"Good","H","SI1",57.9,62,2354,5.82,5.86,3.38
"900",1.03,"Ideal","G","VS1",61.4,55,7481,6.5,6.53,4
"901",0.41,"Premium","I","VVS2",62.9,58,1061,4.74,4.71,2.97
"902",0.32,"Good","D","SI2",63.7,56,612,4.34,4.33,2.76
"903",0.3,"Ideal","I","VS1",62.5,57,608,4.32,4.29,2.69
"904",0.36,"Good","D","SI1",63.2,56,619,4.52,4.56,2.87
"905",0.3,"Ideal","G","VS2",61.3,56,675,4.33,4.28,2.64
"906",0.32,"Very Good","G","VVS2",62.3,54,730,4.38,4.45,2.75
"907",0.77,"Ideal","H","SI2",60.8,57,2302,5.96,5.89,3.6
"908",0.91,"Very Good","D","SI2",62.3,57,3848,6.14,6.22,3.85
"909",0.54,"Premium","D","SI1",62.6,57,1650,5.21,5.12,3.23
"910",0.8,"Very Good","D","SI2",63.7,57,2708,5.87,5.9,3.75
"911",0.91,"Good","D","SI1",63.1,61,4113,6.1,6.16,3.87
"912",1,"Very Good","F","VS2",62.2,57,6183,6.4,6.43,3.99
"913",1.3,"Ideal","J","VS1",62.3,57,6334,7.06,6.97,4.37
"914",0.59,"Good","F","VS1",60.5,61,1861,5.43,5.5,3.31
"915",0.41,"Premium","D","SI2",61.2,59,683,4.77,4.8,2.93
"916",2.37,"Ideal","J","SI1",61.9,55,18508,8.53,8.56,5.29
"917",0.42,"Premium","G","VS2",60.1,61,1087,4.84,4.81,2.9
"918",0.71,"Premium","I","SI2",60.3,58,1917,5.78,5.72,3.47
"919",0.3,"Ideal","E","VVS1",61.8,56,956,4.31,4.3,2.66
"920",0.38,"Ideal","D","VS2",61.5,56,954,4.66,4.7,2.88
"921",0.54,"Ideal","I","IF",61.6,53,1647,5.26,5.3,3.25
"922",0.76,"Premium","D","SI1",61.1,59,2847,5.93,5.88,3.61
"923",0.33,"Ideal","D","SI1",62.5,54,780,4.44,4.43,2.77
"924",0.3,"Ideal","G","VVS1",62.3,55,789,4.29,4.31,2.68
"925",0.32,"Premium","I","SI1",61,59,432,4.36,4.39,2.67
"926",0.53,"Ideal","F","VVS2",62.7,56,2030,5.16,6.2,3.25
"927",1.08,"Ideal","E","SI2",61.7,57,4989,6.55,6.6,4.06
"928",1.2,"Ideal","H","SI1",62.2,56,6471,6.8,6.77,4.23
"929",0.77,"Ideal","I","SI2",61.6,57,2425,5.87,5.92,3.63
"930",1.03,"Premium","F","VS1",61.7,56,6783,6.49,6.47,4
"931",1.37,"Ideal","G","SI2",62.8,57,6730,7.12,7.06,4.45
"932",0.63,"Ideal","D","VS2",61.5,54,2013,5.54,5.58,3.42
"933",0.3,"Ideal","D","SI1",61,56,709,4.33,4.3,2.63
"934",0.4,"Ideal","H","SI2",62.2,55,540,4.75,4.77,2.96
"935",0.32,"Premium","I","VS1",61.3,58,505,4.35,4.39,2.68
"936",0.41,"Premium","D","SI2",62.3,58,876,4.77,4.73,2.96
"937",0.24,"Ideal","G","VVS2",61.2,56,498,3.99,4.02,2.45
"938",0.32,"Ideal","G","VS1",60.9,56,645,4.41,4.45,2.7
"939",0.41,"Premium","E","SI2",60,59,876,4.82,4.78,2.88
"940",1.2,"Very Good","G","SI2",63.1,57,5609,6.68,6.79,4.25
"941",1.11,"Very Good","H","SI2",63.4,55,4028,6.54,6.51,4.14
"942",0.41,"Premium","D","SI1",62.1,59,791,4.74,4.76,2.95
"943",1.03,"Premium","D","SI2",61.3,61,4764,6.49,6.46,3.97
"944",0.27,"Ideal","H","SI1",61.3,55,383,4.17,4.21,2.57
"945",1.5,"Good","D","VS2",64.1,54,13232,7.17,7.24,4.62
"946",1.01,"Premium","G","VS2",62.1,59,5864,6.43,6.38,3.98
"947",1.6,"Premium","I","SI1",62.1,58,8852,7.51,7.47,4.65
"948",0.3,"Very Good","F","VS2",62.8,56,605,4.29,4.31,2.7
"949",0.31,"Ideal","G","VS1",62.4,55,625,4.33,4.35,2.71
"950",0.28,"Ideal","H","VS1",62,55,497,4.21,4.24,2.62
"951",0.51,"Premium","E","VS2",59.2,61,1662,5.17,5.16,3.06
"952",0.35,"Ideal","D","VS1",60.8,57,890,4.57,4.61,2.79
"953",1.1,"Premium","D","SI1",60.7,55,6468,6.74,6.71,4.08
"954",1.5,"Very Good","E","VS2",62.9,56,13892,7.31,7.22,4.57
"955",0.31,"Ideal","D","VS1",61.6,55,766,4.37,4.4,2.7
"956",1.01,"Ideal","H","SI1",60.2,56,4191,6.47,6.42,3.88
"957",0.91,"Premium","E","VVS2",61.1,61,7006,6.24,6.2,3.8
"958",1,"Premium","F","SI1",59.4,62,3881,6.55,6.52,3.88
"959",1.23,"Premium","H","VS2",58.5,62,6150,7,6.98,4.09
"960",2.01,"Premium","G","SI2",60.1,60,17403,8.25,8.18,4.94
"961",0.36,"Ideal","E","VS2",61.2,56,789,4.6,4.62,2.82
"962",0.91,"Fair","E","VS1",64.5,58,4770,6.14,6.1,3.95
"963",2.18,"Premium","F","SI1",61.2,60,18717,8.38,8.3,5.1
"964",0.98,"Fair","F","SI1",61.8,66,3622,6.38,6.27,3.91
"965",0.32,"Very Good","I","VS2",62.9,57,449,4.37,4.4,2.76
"966",0.58,"Ideal","F","SI1",62.2,57,1705,5.37,5.33,3.33
"967",1.01,"Very Good","I","SI1",62.7,56,4212,6.36,6.43,4.01
"968",1.15,"Ideal","H","I1",62,55,3606,6.76,6.69,4.17
"969",0.3,"Very Good","D","SI2",63.4,56,574,4.29,4.26,2.71
"970",1.01,"Ideal","D","SI1",62,57,5939,6.44,6.37,3.97
"971",0.51,"Ideal","E","SI1",62.3,56,1443,5.15,5.12,3.2
"972",0.8,"Very Good","H","VVS2",62.9,56,3036,5.9,5.96,3.73
"973",1,"Very Good","E","VS2",62.9,57,7607,6.33,6.35,3.99
"974",0.3,"Ideal","E","VS2",62.3,57,658,4.29,4.32,2.68
"975",1.01,"Good","I","VS1",64.2,60,3484,6.35,6.27,4.05
"976",0.5,"Ideal","D","SI2",62.5,55,1239,5.07,5.14,3.19
"977",0.72,"Ideal","F","VVS1",60.8,56,5051,5.83,5.81,3.54
"978",0.72,"Ideal","G","VS1",61,55,3478,5.81,5.83,3.55
"979",0.71,"Very Good","E","VS2",63.4,61,2450,5.6,5.57,3.54
"980",0.55,"Ideal","F","SI2",61.1,56,1256,5.29,5.32,3.24
"981",1.31,"Premium","J","SI2",59.7,59,3697,7.06,7.01,4.2
"982",0.34,"Good","D","VVS1",57.4,62,957,4.67,4.71,2.69
"983",1.01,"Premium","G","VVS2",62.4,59,7466,6.37,6.32,3.96
"984",0.71,"Good","I","SI1",59.9,65,2165,5.71,5.74,3.43
"985",1.02,"Very Good","E","VS2",63.2,60,6580,6.34,6.29,3.99
"986",1.15,"Ideal","H","SI2",62,56,4959,6.75,6.68,4.16
"987",0.34,"Premium","D","VS2",60.4,60,805,4.51,4.56,2.74
"988",0.36,"Ideal","D","VS2",61.8,56,852,4.56,4.6,2.83
"989",0.31,"Premium","E","VS1",61.1,58,942,4.37,4.34,2.66
"990",0.91,"Premium","D","VS2",62,60,4969,6.23,6.19,3.85
"991",0.4,"Very Good","F","SI2",62.6,53,579,4.7,4.75,2.96
"992",2.05,"Premium","H","SI1",60.2,58,17521,8.25,8.22,4.96
"993",1.58,"Ideal","I","SI1",61.7,56,9335,7.55,7.48,4.64
"994",0.4,"Ideal","H","VVS1",62.2,55,1017,4.7,4.75,2.94
"995",0.53,"Premium","G","SI1",61.3,58,1268,5.16,5.21,3.18
"996",1.1,"Ideal","H","SI1",60.2,56,4827,6.74,6.82,4.08
"997",0.32,"Very Good","F","VS2",60.2,59,645,4.4,4.43,2.66
"998",0.3,"Premium","G","VS1",61.7,60,776,4.28,4.24,2.63
"999",0.35,"Ideal","E","SI1",61.2,57,614,4.52,4.56,2.78
"1000",0.53,"Ideal","F","VS1",62.3,55,1908,5.22,5.18,3.24
